"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08122019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-12 14:00:00,"KN","T",0.6,"mg/l",0.1,"mg/l",0.1,"","R","Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08122019-W","NITROGEN, NITRATE (AS N)",2019-08-12 14:00:00,"14797-55-8","T",1.8,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08122019-W","NITROGEN, NITRITE",2019-08-12 14:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08122019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-12 14:00:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08122019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-12 14:00:00,"7723-14-0","T",0.0097,"mg/l",0.0036,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","Chlorophyll A",2019-08-26 11:30:00,"479-61-8","T",0.318,"ug/l",NA,"ug/l",0.039,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","Nitrate+Nitrite as Nitrogen",2019-08-26 11:30:00,"NO3NO2N","T",1.84,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","Nitrogen",2019-08-26 11:30:00,"7727-37-9","T",1.84,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","Nitrogen, ammonia (As N)",2019-08-26 11:30:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-26 11:30:00,"KN","T",0.14,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","NITROGEN, NITRATE (AS N)",2019-08-26 11:30:00,"14797-55-8","T",1.84,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","NITROGEN, NITRITE",2019-08-26 11:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-26 11:30:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-26 11:30:00,"7723-14-0","T",0.0057,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","Chlorophyll A",2019-09-09 12:00:00,"479-61-8","T",0.581,"ug/l",NA,"ug/l",0.038,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","Nitrate+Nitrite as Nitrogen",2019-09-09 12:00:00,"NO3NO2N","T",1.59,"mg/l",0.0015,"mg/l",0.002,"","R","Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","Nitrogen",2019-09-09 12:00:00,"7727-37-9","T",1.59,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","Nitrogen, ammonia (As N)",2019-09-09 12:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-09 12:00:00,"KN","T",0.21,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","NITROGEN, NITRATE (AS N)",2019-09-09 12:00:00,"14797-55-8","T",1.59,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","NITROGEN, NITRITE",2019-09-09 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-09 12:00:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-09 12:00:00,"7723-14-0","T",0.0068,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","Chlorophyll A",2019-09-24 12:00:00,"479-61-8","T",1.66,"ug/l",NA,"ug/l",0.15,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","Nitrate+Nitrite as Nitrogen",2019-09-24 12:00:00,"NO3NO2N","T",1.27,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","Nitrogen",2019-09-24 12:00:00,"7727-37-9","T",1.27,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","Nitrogen, ammonia (As N)",2019-09-24 12:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-24 12:00:00,"KN","T",0.23,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","NITROGEN, NITRATE (AS N)",2019-09-24 12:00:00,"14797-55-8","T",1.27,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","NITROGEN, NITRITE",2019-09-24 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-24 12:00:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-24 12:00:00,"7723-14-0","T",0.0091,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","Chlorophyll A",2019-10-10 14:00:00,"479-61-8","T",0.473,"ug/l",NA,"ug/l",0.039,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","Nitrate+Nitrite as Nitrogen",2019-10-10 14:00:00,"NO3NO2N","T",1.37,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","Nitrogen",2019-10-10 14:00:00,"7727-37-9","T",1.37,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","Nitrogen, ammonia (As N)",2019-10-10 14:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","NITROGEN, KJELDAHL, TOTAL",2019-10-10 14:00:00,"KN","T",0.22,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","NITROGEN, NITRATE (AS N)",2019-10-10 14:00:00,"14797-55-8","T",1.37,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","NITROGEN, NITRITE",2019-10-10 14:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","Orthophosphate as Phosphorus, Dissolved",2019-10-10 14:00:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","PHOSPHORUS, TOTAL (AS P)",2019-10-10 14:00:00,"7723-14-0","T",0.0071,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","Chlorophyll A",2019-10-22 14:00:00,"479-61-8","T",0.471,"ug/l",NA,"ug/l",0.038,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","Nitrate+Nitrite as Nitrogen",2019-10-22 14:00:00,"NO3NO2N","T",1.72,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","Nitrogen",2019-10-22 14:00:00,"7727-37-9","T",1.72,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","Nitrogen, ammonia (As N)",2019-10-22 14:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-22 14:00:00,"KN","T",0.17,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","NITROGEN, NITRATE (AS N)",2019-10-22 14:00:00,"14797-55-8","T",1.72,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","NITROGEN, NITRITE",2019-10-22 14:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-22 14:00:00,"PDORTHO","D",0.0077,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-22 14:00:00,"7723-14-0","T",0.0104,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","Chlorophyll A",2019-11-06 11:00:00,"479-61-8","T",0.215,"ug/l",NA,"ug/l",0.038,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","Nitrate+Nitrite as Nitrogen",2019-11-06 11:00:00,"NO3NO2N","T",1.48,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","Nitrogen",2019-11-06 11:00:00,"7727-37-9","T",1.48,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","Nitrogen, ammonia (As N)",2019-11-06 11:00:00,"7664-41-7","T",0.012,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-06 11:00:00,"KN","T",0.28,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","NITROGEN, NITRATE (AS N)",2019-11-06 11:00:00,"14797-55-8","T",1.48,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","NITROGEN, NITRITE",2019-11-06 11:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-06 11:00:00,"PDORTHO","D",0.0097,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-06 11:00:00,"7723-14-0","T",0.0208,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","Chlorophyll A",2019-11-12 13:00:00,"479-61-8","T",0.167,"ug/l",NA,"ug/l",0.039,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","Nitrate+Nitrite as Nitrogen",2019-11-12 13:00:00,"NO3NO2N","T",1.61,"mg/l",0.0015,"mg/l",0.002,"","R","Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","Nitrogen",2019-11-12 13:00:00,"7727-37-9","T",1.61,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","Nitrogen, ammonia (As N)",2019-11-12 13:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-12 13:00:00,"KN","T",0.25,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","NITROGEN, NITRATE (AS N)",2019-11-12 13:00:00,"14797-55-8","T",1.61,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","NITROGEN, NITRITE",2019-11-12 13:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Holding Time error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-12 13:00:00,"PDORTHO","D",0.0072,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-12 13:00:00,"7723-14-0","T",0.0144,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","Chlorophyll A",2019-11-18 12:00:00,"479-61-8","T",0.106,"ug/l",NA,"ug/l",0.038,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","Nitrate+Nitrite as Nitrogen",2019-11-18 12:00:00,"NO3NO2N","T",1.9,"mg/l",0.003,"mg/l",0.004,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","Nitrogen",2019-11-18 12:00:00,"7727-37-9","T",1.9,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","Nitrogen, ammonia (As N)",2019-11-18 12:00:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-18 12:00:00,"KN","T",0.18,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","NITROGEN, NITRATE (AS N)",2019-11-18 12:00:00,"14797-55-8","T",1.9,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","NITROGEN, NITRITE",2019-11-18 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-18 12:00:00,"PDORTHO","D",0.0061,"mg/l",0.0049,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-18 12:00:00,"7723-14-0","T",0.011,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","Chlorophyll A",2019-10-17 14:00:00,"479-61-8","T",8.37,"ug/l",NA,"ug/l",0.64,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","Nitrate+Nitrite as Nitrogen",2019-10-17 14:00:00,"NO3NO2N","T",0.967,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","Nitrogen",2019-10-17 14:00:00,"7727-37-9","T",0.97,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","Nitrogen, ammonia (As N)",2019-10-17 14:00:00,"7664-41-7","T",0.011,"mg/l",0.003,"mg/l",0.01,"","R","Precision error"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","NITROGEN, KJELDAHL, TOTAL",2019-10-17 14:00:00,"KN","T",1.46,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","NITROGEN, NITRATE (AS N)",2019-10-17 14:00:00,"14797-55-8","T",0.967,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","NITROGEN, NITRITE",2019-10-17 14:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","Orthophosphate as Phosphorus, Dissolved",2019-10-17 14:00:00,"PDORTHO","D",0.0553,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SAUQ-1.7","12-SAUQ-1.7","PHOSPHORUS, TOTAL (AS P)",2019-10-17 14:00:00,"7723-14-0","T",0.201,"mg/l",0.018,"mg/l",0.025,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","Chlorophyll A",2019-05-08 11:15:00,"479-61-8","T",2.41,"ug/l",NA,"ug/l",0.094,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","Nitrate+Nitrite as Nitrogen",2019-05-08 11:15:00,"NO3NO2N","T",0.212,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","Nitrogen",2019-05-08 11:15:00,"KN","T",0.21,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","Nitrogen, ammonia (As N)",2019-05-08 11:15:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","NITROGEN, KJELDAHL, TOTAL",2019-05-08 11:15:00,"KN","T",0.21,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","NITROGEN, NITRATE (AS N)",2019-05-08 11:15:00,"14797-55-8","T",0.212,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","NITROGEN, NITRITE",2019-05-08 11:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","Orthophosphate as Phosphorus, Dissolved",2019-05-08 11:15:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05082019-W","PHOSPHORUS, TOTAL (AS P)",2019-05-08 11:15:00,"7723-14-0","T",0.0105,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","Chlorophyll A",2019-05-21 11:00:00,"479-61-8","T",1.98,"ug/l",NA,"ug/l",0.11,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","Nitrate+Nitrite as Nitrogen",2019-05-21 11:00:00,"NO3NO2N","T",0.199,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","Nitrogen",2019-05-21 11:00:00,"KN","T",0.2,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","Nitrogen, ammonia (As N)",2019-05-21 11:00:00,"7664-41-7","T",0.007,"mg/l",0.0036,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","NITROGEN, KJELDAHL, TOTAL",2019-05-21 11:00:00,"KN","T",0.29,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","NITROGEN, NITRATE (AS N)",2019-05-21 11:00:00,"14797-55-8","T",0.199,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","NITROGEN, NITRITE",2019-05-21 11:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","Orthophosphate as Phosphorus, Dissolved",2019-05-21 11:00:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-05212019-W","PHOSPHORUS, TOTAL (AS P)",2019-05-21 11:00:00,"7723-14-0","T",0.0104,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","Chlorophyll A",2019-06-05 11:15:00,"479-61-8","T",0.376,"ug/l",NA,"ug/l",0.04,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","Nitrate+Nitrite as Nitrogen",2019-06-05 11:15:00,"NO3NO2N","T",0.501,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","Nitrogen",2019-06-05 11:15:00,"KN","T",0.5,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","Nitrogen, ammonia (As N)",2019-06-05 11:15:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Accuracy error"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-05 11:15:00,"KN","T",0.14,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","NITROGEN, NITRATE (AS N)",2019-06-05 11:15:00,"14797-55-8","T",0.501,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","NITROGEN, NITRITE",2019-06-05 11:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-05 11:15:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06052019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-05 11:15:00,"7723-14-0","T",0.0062,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","Chlorophyll A",2019-06-11 13:00:00,"479-61-8","T",2.06,"ug/l",NA,"ug/l",0.083,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","Nitrate+Nitrite as Nitrogen",2019-06-11 13:00:00,"NO3NO2N","T",0.186,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","Nitrogen",2019-06-11 13:00:00,"KN","T",0.19,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","Nitrogen, ammonia (As N)",2019-06-11 13:00:00,"7664-41-7","T",0.0058,"mg/l",0.0036,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-11 13:00:00,"KN","T",0.32,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","NITROGEN, NITRATE (AS N)",2019-06-11 13:00:00,"14797-55-8","T",0.186,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","NITROGEN, NITRITE",2019-06-11 13:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-11 13:00:00,"PDORTHO","D",0.0051,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06112019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-11 13:00:00,"7723-14-0","T",0.0322,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-SCHO-36.0","12-SCHO-36-06182019-W","Chlorophyll A",2019-06-18 10:15:00,"479-61-8","T",2.58,"ug/l",NA,"ug/l",0.095,"","A",""
